Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
86500,1699684,1229691,912467,124511,134412,52899,57020,2246555489,374399,271218,70856,663475488,211572,809806505,64192,1930972906,86520,5916231242,50305,5780658832,1462227636
86750,1772887,1373834,854725,125424,137790,54528,59630,2169424248,381786,315366,68705,898389880,172604,877215128,63712,1919721822,85433,5902297030,50278,5791487087,1463105804
87000,1899311,1636946,845198,128637,158395,54772,57640,2226708673,363198,316866,67655,827719851,250870,850360602,65799,1927961292,99098,5920271802,51552,5841597760,1468125260
87250,1765375,1318675,854810,125454,171409,54136,54664,2154318598,383477,293151,68446,670569348,197646,1089191294,64917,1925051738,86485,6010979509,64845,5874857934,1464424264
87500,1871621,1460943,834556,122479,150629,54256,56304,2174581041,353113,288318,69852,668359909,187438,988328742,104109,1932227434,82703,5988350481,228579,5809951298,1476201051
87750,1834278,1294087,846640,125933,155641,53820,66838,2043386819,387371,304275,70426,740245455,182379,1071411977,110992,1942439215,84646,6009855608,50408,5890491172,1467336606
88000,2101948,1273662,856265,136911,132750,54426,58183,2054349130,363216,268501,85903,670715191,204800,1180311207,65944,1938111314,81359,6029045074,48160,5853510472,1495723485
88250,1815744,1386365,891499,123174,140274,54178,81766,2056127479,398493,260719,69053,672545612,272251,1239554071,63456,1946947427,84601,5975739285,47463,5954560308,1490613134
88500,1712463,1357258,849885,125137,139051,56046,59649,2040125022,377311,263110,78362,652457088,200736,1372705359,66234,1969030374,97915,5992400397,47718,5959974906,1481260586
88750,1773620,9282519,838916,121856,134039,55491,58376,2047235821,367641,270311,71098,646666080,227008,1260386430,63958,1970011435,87072,6028939612,49425,5964176717,1497930740
89000,1758998,1412086,903626,140673,183346,58183,58925,2061217410,374026,275637,69544,707173334,205417,1225442423,65199,1963389381,90287,6071161018,50891,6002555335,1514619419
89250,1681148,1525529,846240,138062,156050,55780,58827,2048606395,387655,288900,69570,749324514,226051,1146887165,63048,1966050083,88787,6116477192,132760,5927569420,1487261282
89500,1815175,1664697,883107,123304,162137,55715,87082,2028252182,381712,301738,67769,609771158,246416,1141424050,65416,1967500439,88777,6104883801,50712,6019362581,1508938322
89750,1752445,1340797,842791,124577,142858,54660,67482,2066805191,378113,276843,68784,664345602,183614,1110296240,73689,1983099148,97474,6087867885,50278,6015013689,1510605715
90000,1768498,1231700,895808,123104,157908,56784,56783,2057207681,400899,296272,71302,755661680,198126,1382173040,67170,2001343644,87735,6096531111,48753,6103533499,1529936022
90250,1820704,1358243,877454,137071,155649,54628,57911,2126661455,387341,293168,71271,713469854,175202,1328323083,71560,2001461204,87763,6102027925,50071,6037190245,1513663233
90500,1783218,1337341,843384,122360,152998,54555,55995,2109093605,357109,272660,72065,789273245,174018,1558306204,66775,1995864987,84451,6146476626,50081,6038621554,1520656985
90750,1881052,1268373,880248,122858,147332,55312,65758,2181290881,358564,301854,70196,771687671,173313,1439223511,64977,1995886754,84440,6303384591,48916,6032470384,1522639346
91000,1769151,1309887,906761,123968,185387,55257,63694,2191122110,362355,317818,89616,819651238,209642,1451526049,63194,2000450144,84210,6526353793,48337,6220762240,1521442880
91250,1805516,1242564,847428,122433,142410,54239,61793,2190417391,372651,372745,70060,807819625,182239,1587813915,65851,2010304793,81678,6186159554,48304,6098531816,1536218977
91500,1833170,1222571,868806,125129,138285,55230,60992,2111316449,436794,272662,68983,853588003,183573,1546465265,66076,2002755296,82856,6220632819,48815,6123975549,1547257370
91750,1704765,1263119,864588,123712,134070,56179,55687,2241386468,362999,279112,99518,799646050,167828,1567965627,66348,2021002451,83553,6285243863,47910,6177645311,1534006398
92000,1718194,1418553,853656,126558,140046,56743,54888,2197566141,397323,384260,69407,654250777,168666,1353876741,110691,2033229443,82160,6245487478,53159,6147958605,1546222801
92250,1842720,1237158,856304,139842,136475,56677,53740,2123977347,367177,360319,70077,649101012,255308,1432244048,68375,2032167895,81456,6294108131,51525,6234737188,1543436336
92500,1727783,1311051,877683,121543,132868,56557,53939,2156646237,366539,296784,85658,676711404,179496,1467309068,65003,2043810172,79994,6319963329,51787,6164619808,1590457049
92750,1786940,1296579,941827,122035,134886,54986,55804,2126745014,419385,342671,69612,656996919,183647,1557023885,68210,2038667707,83587,6345160951,49345,6212664457,1559614701
93000,1692777,1262676,835607,121966,136219,54961,58894,2097169443,380236,272603,43173,675680794,190866,1896562690,64635,2049306823,81302,6384350146,58843,6238761217,1571862539
93250,1861034,1329201,914600,141825,136087,55662,56230,2134349016,393232,284805,38772,649575601,189561,1878103711,66311,2040646122,81942,6465632682,51682,6243988170,1601164970
93500,1908515,1360670,845499,125024,137406,57442,55564,2150434402,391988,359200,66121,691084805,176417,1682850387,67020,2069661183,99368,6388945183,51293,6373012697,1607436337
93750,1888442,1246847,856591,124916,140695,55932,55297,2131061805,346746,286534,68061,823990091,205065,1602543350,66941,2059952641,80550,6366151672,59646,6289908914,1572704449
94000,1943850,1313638,924557,121850,135061,54971,54346,2129855217,343553,350925,66639,854322343,227070,1762895702,70007,2064950429,93990,6409245262,56324,6346339180,1581584643
94250,1695798,1366247,899206,123433,133947,53876,54475,2188911093,408066,291087,68437,768742940,191726,1801788064,75117,2072713717,82119,6423920724,51430,6293473062,1589933912
94500,1808618,1371938,892092,138767,134647,79439,55409,2150573672,393268,288080,69962,770527326,204618,1944252723,70505,2089265130,79824,6392200392,55413,6472718233,1583886972
94750,1969261,1387328,845259,123810,146372,55284,74217,2155404480,414541,309295,69712,784375024,155361,2009847122,75796,2083476648,85005,6395313172,50083,6443179945,1602991206
95000,1719756,1309412,899648,121812,135435,54741,55961,2245392225,369086,384845,73690,832906457,156780,1870289749,71525,2081076622,78291,6497540344,50908,6386546855,1591729047
95250,2057163,1292492,922435,122864,139674,54754,56101,2293210888,369979,385607,69958,777462484,184813,1564662864,66090,2124278014,81687,6475001326,49553,6408186324,1597441261
95500,1732978,1321581,841581,122463,137996,56509,64773,2370814380,365726,300475,71366,894212287,160928,1468300499,66664,2148694414,79728,6486336670,48856,6494647776,1596630414
95750,1868157,1529416,903164,143505,138299,58363,54677,2452994221,418596,279362,67581,948234662,160892,1647156991,66109,2113419373,80176,6467721576,48770,6491845117,1626581850
96000,1757441,1297556,872962,148375,136423,79403,56032,2253309756,389616,282053,67653,833350055,161911,1655458004,68849,2110995524,81851,6472590108,48369,6540281215,1614081914
96250,1651902,1399435,859374,123441,142298,55446,58185,2180612348,388672,286529,67612,784508737,172449,1466412629,64693,2099377757,79420,6518630279,50551,6576636799,1621358127
96500,1882447,1347975,848894,124585,138618,55840,65711,2170868823,355159,292154,67965,787547828,171565,1462829326,112519,2106924241,84475,6641169907,58323,6538737270,1620898472
96750,1844909,1307414,871269,128315,147986,66357,60763,2212888504,372693,284111,68210,816738009,178817,1461342560,73748,2113772847,82101,6745908254,51374,6520228481,1633797591
97000,1802296,1428657,896782,127777,133651,58361,55262,2375401558,363110,290075,68634,783172513,165980,1538957640,69802,2124799540,79945,6647009430,553108,6467976129,1627222492
97250,1764923,1555594,842892,126809,138025,57630,54285,2279138811,394786,281092,68386,771621640,182763,1454844218,70123,2139114306,86207,6576180845,49365,6598065693,1627459590
97500,1715071,1351666,865298,124972,138702,59097,53523,2207273264,419514,282705,68704,774613068,176271,1555579441,66597,2160235419,82993,6624470299,49302,6478031364,1640505110
97750,1831724,1442896,876990,123091,135651,57284,57377,2226963404,381400,284161,70028,774711744,270943,1488127658,71485,2135491748,80189,6592210120,48372,6593083785,1633036724
98000,1713589,1470946,873324,126863,137931,57413,56151,2217223894,369788,296233,68189,784489572,180995,1685987911,74607,2159207255,83772,6651085164,70941,6633537310,1646461240
98250,1740562,1394837,857308,151961,135348,57934,56920,2241843361,366172,300890,66248,803344058,271993,1539957171,71881,2148195062,80441,6739058677,50198,6610269102,1647203786
98500,1851180,1396902,898969,128697,135855,61880,58302,2209980983,359609,299462,66320,813226998,187176,1532845985,83027,2173583325,81769,6915132900,50321,6683552612,1655098586
98750,1816790,1646476,849682,127160,141515,61936,57884,2417972019,363171,327091,68788,791367828,190713,1529334096,75702,2161099977,81806,6751637988,49921,6728458744,1643514896
99000,1761665,1546755,900058,127621,138308,58441,56411,2385895880,365325,359034,68428,781119909,194968,1588341408,70648,2186504748,78511,6782072573,48524,6635250249,1651152106
99250,1813535,1449383,854649,129325,140297,60553,55471,2256322225,405812,295145,68903,813033622,181128,1578271028,62065,2174554637,82238,6797050900,50496,6704525523,1682587083
99500,1733766,1415512,946380,127952,135935,60438,55095,2239327656,403167,278915,71103,795883926,440674,1614845578,62066,2182688460,83173,6707996683,51770,6673662410,1679743329
99750,1939739,1436987,854551,130156,135933,59157,55818,2282255921,374637,282905,68612,808410273,217197,1617473334,64043,2178748872,79280,6750544896,49252,6732032897,1676750877
100000,1680729,1685046,840587,129097,145666,62125,54070,2268430762,364665,311821,70355,909786797,237628,1828573400,72722,2196802733,81851,6729429010,51402,6767559905,1713969685
100250,1783238,1494586,930937,135231,139065,63242,56900,2261258735,374463,277434,69153,813704421,9080816,1951202658,88845,2188622977,83063,6817851381,49920,6792814155,1683217149
100500,1894898,1450925,843258,131950,139246,82047,53995,2314203106,385820,285194,68348,800873714,220733,1996647928,91760,2204976403,81682,7132695665,49324,6792911157,1707998032
100750,1811253,1468267,839640,129358,191660,58280,62885,2210262662,436565,295226,68175,821182102,191383,1922927894,83484,2215782878,84855,7197924330,51451,6830501692,1685845897
101000,1938894,1365118,844200,126113,142933,56135,54891,2249448139,378105,292776,69112,801339844,158834,2095186736,82600,2238227860,79824,7005240471,50376,6777613387,1719946891
101250,1672883,1346042,871899,128412,185233,58440,55027,2218749553,366090,308249,69250,819125902,169537,2021598133,74277,2212558525,83114,6966361236,49265,6823825242,1716238232
101500,1734962,1454745,895390,175078,157349,59285,56498,2221159240,376848,295316,68852,837714063,169148,2021434546,72320,2237240434,79640,6949267401,52122,6919909997,1734561593
101750,1958543,1278115,843197,126188,146136,59666,55628,2251057935,372649,281484,69518,833419661,170855,1981739271,93540,2225292853,79091,7101971206,65287,6844487361,1699397242
102000,1743755,1397309,859120,128254,149374,61263,55106,2279912973,396381,279708,69455,997467250,163693,1848032876,75980,2230814895,92691,7047057347,54119,6925216065,1702724668
102250,1880776,1392968,896924,123041,146815,60165,54091,2362884578,401515,303209,68833,1028699364,172101,1992784216,71780,2254716018,77918,7138249890,49686,6934260240,1725507057
102500,1707304,1325664,875811,128058,145385,79831,53638,2398502425,414910,302158,69336,941514280,173949,1997519440,65156,2248774757,82827,6944901168,48454,6949039851,1720304688
102750,1734457,1450752,838642,125235,143767,58983,54203,2521553954,393979,317473,67921,862492213,179986,2117458891,117971,2247320510,81035,7019751039,48056,6969404818,1766241597
103000,1731345,1399421,858870,130035,169199,54481,64750,2406981484,20470311,296051,70145,974749387,181112,2212062493,69479,2256641102,79208,7079205404,48598,6973212789,1716023713
103250,1691647,1266047,871436,125787,149457,53363,54375,2325992941,337292,278335,68508,1096280708,176176,2101720922,76931,2248185130,80482,7056577890,49368,7096324792,1736986209
103500,1886000,1410633,848509,124524,188785,62361,53181,2364032127,326285,297113,77884,1042812874,188600,2371635046,74924,2259923703,78863,7110784263,49357,6955354258,1756618971
103750,1855138,1365207,838587,126108,167377,52263,51553,2496795317,334896,303945,68665,1242264653,170190,2204585335,82289,2285550964,78212,7096994064,52817,6929962696,1735262788
104000,1793316,1400402,878096,126512,152806,55132,53745,2405274311,323486,320762,68422,1171301868,167298,2391130391,89728,2273387208,79894,7160487887,50008,6932887306,1764706833
104250,20372,26464,9929,1286,1252,1639,2070,27672679,3753,5922,886,12703501,1712,58709691,5588,29321690,701,86008417,2163,110650315,20876005

