Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
23500,1560991,1257924,854803,130639,129813,53520,59827,478924880,362613,256100,61246,154064940,170292,220807312,62614,611086519,87149,1587515715,49056,1577973470,383428917
23750,1495516,1144523,847112,131801,139735,55968,60133,494524904,387958,333972,59921,175201974,189315,214444236,61762,619739753,95052,1804956566,50664,1583003791,391572082
24000,1572461,1173295,845843,129474,129724,54469,60324,534110039,350542,356522,60008,203688131,210809,241098051,62394,611495834,81011,1687715139,49914,1580953978,395718123
24250,1627613,1334939,848078,132991,139111,54828,81309,532044185,346948,316564,60374,183313576,182427,232003061,62599,625371432,108046,1628787490,53290,1590203893,403754411
24500,1456715,1089772,843397,129906,129454,52479,61990,512046127,447859,272765,60498,190826952,190938,244451405,63028,623691139,86295,1659934437,54322,1620076068,415056180
24750,1609159,1116313,879426,128654,128004,52896,59372,532234780,353516,291164,59667,189016427,150049,232677852,63391,629655467,86258,1671852216,66722,1664385019,409650748
25000,1617265,1166641,848668,127498,135604,53030,73072,519608917,351580,248814,59294,182355657,151980,254848392,69243,647983874,82144,1706647183,50469,1662542744,420194205
25250,1516214,1254444,938260,128259,135224,52933,74790,527569181,365412,249295,60085,170453290,183379,224681741,60551,643106531,121965,1700652571,54481,1677930696,435197053
25500,1567167,1112027,837436,148486,131636,52492,58247,534535892,412720,277554,60209,173228775,148641,236934604,62048,658932835,102690,1693098025,53425,1682332754,422853492
25750,1604126,1097591,922680,129616,133701,52217,68540,545160205,4641348,288114,71258,314967188,154475,264410209,60475,659018543,84138,1748438070,51002,1711868904,426446820
26000,1517692,1265146,890489,127627,129043,55350,59700,545299092,307601,333958,60845,252563792,204321,244327365,60865,659434451,84638,1786217696,50346,1719665250,432259207
26250,1581277,1147829,911257,138708,132709,53233,60009,598549772,315457,309264,60459,266132401,194332,231636636,60595,659296800,80396,1796340312,49846,1734569304,434273906
26500,1613422,1217452,857385,127069,142256,51748,63091,630766370,336414,261857,60875,257152597,202886,230122079,61030,681655467,83958,1889744605,56112,1738561088,441206008
26750,1528826,1282877,861967,128062,129439,54368,64310,661800999,305531,294830,61374,233177815,180468,232881208,61998,673039550,87396,1909152510,61981,1799028581,451613861
27000,1661793,1219534,842182,124036,126219,51400,67751,646100869,309294,298324,60950,231675582,159351,257033471,65231,679061815,94576,1937524250,48272,1782782129,443798566
27250,1591181,1060256,852369,127919,126398,53610,66076,631929273,332111,292863,61610,237293520,152506,255785119,63232,701417895,83404,1819092862,52572,1814268701,456812063
27500,1519685,1157971,847527,124515,127073,52420,55507,576299926,352911,281316,59948,208344236,155377,244813611,62939,696679649,80441,1870590520,50323,1838330214,457458185
27750,1532772,1103010,831544,127199,128216,52143,57079,576570367,339253,309936,97411,254547115,170739,247668657,62047,696522986,82354,1875635115,51536,1847597680,470283382
28000,1587161,1103132,864435,126433,128174,52352,56991,718180393,329516,270250,61648,302361446,173448,256723940,62087,721331495,79237,1907341989,51646,1855520294,463195947
28250,1610859,1085989,914309,126198,130467,60233,55345,654036054,327040,310128,61148,279691499,283445,273745188,83160,713519900,108289,1914456366,58365,1897182845,473508430
28500,1580090,1098073,859895,133960,136782,51082,59064,565864755,331140,308131,61488,282446404,215346,253210593,61146,715997478,89562,1962601112,49428,1879972513,470746986
28750,1487831,1320721,1013973,123061,122156,51567,55782,555128004,330135,307493,62309,232092031,161244,250820773,63745,746823639,85172,1953584306,48122,1924833119,493236871
29000,1627938,1147973,868280,139877,123245,52732,55956,568415379,362240,350348,87964,206511359,192630,260460209,85923,727049623,84720,1986196781,57536,1956847542,481289403
29250,1603737,1233919,854759,144110,126079,52731,54850,587781912,361731,313241,60086,210141156,208978,268034640,61720,730399917,79949,1976966795,48697,1943822320,484395970
29500,1547398,1122692,861878,133167,123319,55417,56151,656461283,324731,308182,59688,212340760,179060,262703384,75103,744027897,82278,2000611171,48634,1966541847,488950458
29750,1578211,1067857,854673,134915,125960,52608,75790,664815748,324756,321143,60032,194682969,166834,267716103,63064,742450039,82314,2036546933,47272,2013340837,495984213
30000,1575734,1107033,874346,131180,126181,52559,54627,709836765,331226,384980,60581,209646305,172225,270447456,61040,744575924,82930,2052444183,48964,1996396922,500457733
30250,1493003,1316566,894044,132113,126125,51914,54841,807172070,317380,300747,61100,315745456,160332,285109843,60348,762511455,86172,2084446494,47276,2010213318,498596682
30500,1767629,1200897,838764,154489,120794,49948,55000,729681685,348001,372984,60789,307586536,150678,274491063,60089,784482270,82418,2079609564,48711,2034953247,522886785
30750,1539506,1222754,884230,129372,125041,69493,58008,646081285,373910,330067,60988,318650695,167993,278713882,60100,764602582,81798,2071732379,73184,2041187372,512826707
31000,1506590,1207182,864157,128347,126339,53698,57239,625412176,337890,374401,59120,314032281,191724,286558091,61231,779820875,79980,2094437913,51344,2078605501,530461842
31250,1755506,1212673,891173,126812,124630,54290,56283,666772895,349128,312848,59171,305377255,195128,286700601,61677,782510937,94954,2115232686,49964,2174524585,514391270
31500,1628129,1123608,852462,141534,123079,53359,57108,679946802,323189,348580,58992,283285032,172904,286430201,62355,784665793,78886,2159703206,48671,2121717312,523189462
31750,1604207,1145091,835535,149599,124727,55814,56998,700105997,320052,319472,60274,302312541,194685,314298985,61950,797123346,91600,2157831621,50030,2133972244,528692468
32000,1652354,1219345,848688,130226,134354,52899,56165,651028864,318605,285093,95349,278937188,285252,318420684,106953,788057229,87603,2196470898,48832,2129085598,530679098
32250,1699220,1117012,834209,162114,155950,52276,56739,688160430,322120,251325,61969,339433731,209488,300719427,63852,789544228,109847,2183272216,50599,2143623620,533262447
32500,1602061,1120390,883063,132675,190461,52182,56225,685642218,326044,239773,62832,243343005,175147,302615482,59701,806294393,86972,2219051847,62725,2294941739,537998714
32750,1614632,1163901,851028,132503,139478,53296,55745,656179378,351172,247982,63285,227818558,159307,303951382,59388,803847522,92667,2241663234,64449,2203189666,546695660
33000,1579708,1406032,920138,130885,137463,54985,71331,663615208,366917,254796,62571,223711979,172344,323182839,60381,810324482,5313769,2261240887,50258,2268183234,550514461
33250,1586599,1177834,857166,130196,132356,53846,57620,673896616,374139,270587,61347,216071586,170165,382079110,74505,836681237,87783,2260541057,49957,2232459735,554438423
33500,1600353,1373144,843348,142441,134027,53987,59062,784640166,340138,281015,61033,221140048,168408,394430638,59468,822568424,85387,2285441583,50817,2236794258,573160578
33750,1510641,1322537,848881,129655,135639,53442,58273,792081009,348398,280691,61628,218540418,189013,404374339,63283,823107866,85776,2320384894,48993,2253141486,566181651
34000,1584539,1130831,831530,145778,137974,100243,59952,801802523,366526,260887,60594,279496051,191748,325189699,94242,836503335,81615,2313300809,50038,2378957347,561226550
34250,1595093,1270730,809587,127719,135259,57439,60033,799860166,350416,287388,60873,227563108,204792,321683917,67280,842302438,83953,2327865793,50515,2296483953,569653671
34500,1491297,1308125,844771,140756,173530,54685,55625,809730096,359879,285325,76433,224805122,203482,329864202,64662,837240269,84321,2339635164,51201,2301753679,573762342
34750,1623160,1206981,795879,127036,162598,55318,69017,816603857,365667,270128,60253,265284939,194691,327462645,64237,847450924,80933,2333707596,49855,2292709704,582223427
35000,1663542,1206254,914415,125637,135038,54665,56453,818367446,338029,277465,60774,256374720,168596,333057233,62121,852623267,105479,2371399019,48911,2381546321,583141973
35250,1548663,1280593,826690,127462,142435,68552,56752,809729435,332035,260842,60376,253803404,172224,357494869,60218,858380921,84496,2446944219,48944,2374234900,590069273
35500,1547458,1309374,813415,129442,142448,57361,57818,762323602,338776,270155,60910,237234421,158141,363295828,61130,861406474,85547,2411446465,49089,2364565693,616008753
35750,1586546,1183241,885791,127973,144374,54417,59792,753933909,389034,244573,61969,231694054,164056,340676782,63629,926492320,83204,2413252501,52409,2379856618,615618537
36000,1506747,1176855,843169,124488,134370,56034,57643,814681302,368264,263418,61407,248931311,160147,349476313,64197,912000803,82446,2420193746,51062,2419551578,610182538
36250,1559026,1232001,983955,127687,136838,57033,57116,846171825,389216,258599,60498,241275628,121969,375137642,66453,902632419,84250,2443714698,96290,2472218287,604766719
